Time Created,Tweet_Text,Username,Additional Hashtags,Account Followers,Number Retweets,Number Likes
2020-12-23 02:09:30,b'Did he get the vaccine like everyone else or is this just a b12 shot ?\xf0\x9f\xa4\x94 #pfizer #covid_19 #coronavirus #vaccine #immunesystem #stimuluscheck https://t.co/1xcXcrZmDI',b'tnlosangeles',"['pfizer', 'covid_19', 'coronavirus', 'vaccine', 'immunesystem', 'stimuluscheck']",120,0,0
2020-12-23 02:01:33,"b'@Reuters \xe2\x80\x9cIn exchange, the deal calls for the government to invoke the Defense Production Act to give #Pfizer better access to roughly nine specialized products it needs to make the #vaccine, the report said.\xe2\x80\x9d #COVID19'",b'diggingquote',"['Pfizer', 'vaccine', 'COVID19']",132,0,0
2020-12-23 01:58:58,b'#Pfizer nears deal with U.S. government to supply additional #COVID-19 #Vaccine doses - NYT  V\xc3\xada @Reuters https://t.co/snzfpIOt5M https://t.co/GeOt1O3ium',b'Aroguden',"['Pfizer', 'COVID', 'Vaccine']",11537,0,1
2020-12-23 01:33:48,"b'Received the #pfizer Covid-19 vaccine last week. So grateful for the opportunity. Very minimal side effects. Some arm pain, mild headache for 6 hrs. Almost everyone should take it when given the chance. It\xe2\x80\x99s another major step to get rid of this virus #COVID19 #vaccine #ourshot https://t.co/DJIwo9cz8D'",b'KunalNJoshiMD',"['pfizer', 'COVID19', 'vaccine', 'ourshot']",30,0,0
2020-12-23 01:19:28,b'The effect of taking the #Pfizervaccine! \xf0\x9f\x98\x83\xf0\x9f\x98\x9b\xf0\x9f\x98\x82 #Pfizer #vaccine https://t.co/VcvPwhJDoX',b'rananth',"['Pfizervaccine', 'Pfizer', 'vaccine']",8843,1,40
2020-12-23 01:16:35,b'How the #Pfizer-BioNTech #Vaccine Works https://t.co/6jjPiCKAYs #COVID19',b'Truehealthinfo',"['Pfizer', 'Vaccine', 'COVID19']",766,0,0
2020-12-23 01:03:02,"b""The world rushed a vaccine to stop COVID because the economies depended on it. That same energy isn't applied to finding a cure/vaccine for HIV/Aids because they don't care about lgbtq people.....it's not affecting the world's economy. #Pfizer #Moderna #covid #hiv #lgbtq""",b'trell8301',"['Pfizer', 'Moderna', 'covid', 'hiv', 'lgbtq']",526,0,2
2020-12-23 00:26:57,"b'Apparently, I spoke too soon ... the PTB don\xe2\x80\x99t think we can handle the truth of what the, \xe2\x80\x9cshots\xe2\x80\x9d will do to us! #nursefainted #vaccine #COVID19 #Moderna #Pfizer #Fauci #Birx https://t.co/YvZ7cAcJkg'",b'Practicalintuit',"['nursefainted', 'vaccine', 'COVID19', 'Moderna', 'Pfizer', 'Fauci', 'Birx']",1515,0,0
2020-12-23 00:11:15,"b'The #US government is negotiating with #Pfizer to acquire tens of millions of additional #Vaccine doses in exchange for helping the pharmaceutical giant gain better access to manufacturing supplies, according to a person with knowledge of the negotiations: https://t.co/UlGqemHdlC'",b'Aroguden',"['US', 'Pfizer', 'Vaccine']",11537,0,1
2020-12-23 00:01:48,"b""The good news I heard today from BioNTech's professor who developed the first vaccine against #Covid after years of work on other diseases with the same method, was that it will work with any mutations whatsoever.  No #Pfizer, no #Trump have any credit for that.""",b'ralphdave',"['Covid', 'Pfizer', 'Trump']",20,0,0
